year,state,dog_bite_cases,units,notes
2021,Mizoram,1034,dog_bite_cases in absolute number,
2021,Nagaland,396,dog_bite_cases in absolute number,
2021,Odisha,112354,dog_bite_cases in absolute number,
2021,Puducherry,9025,dog_bite_cases in absolute number,
2021,Punjab,17585,dog_bite_cases in absolute number,
2021,Rajasthan,223750,dog_bite_cases in absolute number,
2021,Sikkim,3286,dog_bite_cases in absolute number,
2021,Tamil Nadu,323190,dog_bite_cases in absolute number,
2021,Telangana,53149,dog_bite_cases in absolute number,
2021,Tripura,4807,dog_bite_cases in absolute number,
2021,Uttar Pradesh,335110,dog_bite_cases in absolute number,
2021,Uttarakhand,25807,dog_bite_cases in absolute number,
2021,West Bengal,488462,dog_bite_cases in absolute number,
2021,All India,3235595,dog_bite_cases in absolute number,
2020,Andaman and Nicobar Islands,364,dog_bite_cases in absolute number,
2020,Andhra Pradesh,299981,dog_bite_cases in absolute number,
2020,Arunachal Pradesh,2962,dog_bite_cases in absolute number,
2020,Assam,34043,dog_bite_cases in absolute number,
2020,Bihar,123355,dog_bite_cases in absolute number,
2020,Chandigarh,14614,dog_bite_cases in absolute number,
2020,Chhattisgarh,45760,dog_bite_cases in absolute number,
2020,Dadra and Nagar Haveli,2248,dog_bite_cases in absolute number,
2020,Daman and Diu,1799,dog_bite_cases in absolute number,
2020,Delhi,53450,dog_bite_cases in absolute number,
2020,Goa,15204,dog_bite_cases in absolute number,
2020,Gujarat,442459,dog_bite_cases in absolute number,
2020,Haryana,104111,dog_bite_cases in absolute number,
2020,Himachal Pradesh,17530,dog_bite_cases in absolute number,
2020,Jammu and Kashmir,19055,dog_bite_cases in absolute number,
2020,Jharkhand,38187,dog_bite_cases in absolute number,
2020,Karnataka,221669,dog_bite_cases in absolute number,
2020,Kerala,83836,dog_bite_cases in absolute number,
2020,Ladakh,1220,dog_bite_cases in absolute number,
2020,Lakshadweep,0,dog_bite_cases in absolute number,
2020,Madhya Pradesh,179930,dog_bite_cases in absolute number,
2020,Maharashtra,516385,dog_bite_cases in absolute number,
2020,Manipur,3357,dog_bite_cases in absolute number,
2020,Meghalaya,8580,dog_bite_cases in absolute number,
2020,Mizoram,4799,dog_bite_cases in absolute number,
2020,Nagaland,563,dog_bite_cases in absolute number,
2020,Odisha,158705,dog_bite_cases in absolute number,
2020,Puducherry,23118,dog_bite_cases in absolute number,
2020,Punjab,34323,dog_bite_cases in absolute number,
2020,Rajasthan,329917,dog_bite_cases in absolute number,
2020,Sikkim,5387,dog_bite_cases in absolute number,
2020,Tamil Nadu,766988,dog_bite_cases in absolute number,
2020,Telangana,82954,dog_bite_cases in absolute number,
2020,Tripura,7819,dog_bite_cases in absolute number,
2020,Uttar Pradesh,658541,dog_bite_cases in absolute number,
2020,Uttarakhand,23179,dog_bite_cases in absolute number,
2020,West Bengal,431649,dog_bite_cases in absolute number,
2020,All India,4758041,dog_bite_cases in absolute number,
2019,Andaman and Nicobar Islands,475,dog_bite_cases in absolute number,
2019,Andhra Pradesh,373121,dog_bite_cases in absolute number,
2019,Arunachal Pradesh,3186,dog_bite_cases in absolute number,
2019,Assam,107254,dog_bite_cases in absolute number,
2019,Bihar,328096,dog_bite_cases in absolute number,
2019,Chandigarh,18378,dog_bite_cases in absolute number,
2019,Chhattisgarh,50529,dog_bite_cases in absolute number,
2019,Dadra and Nagar Haveli,2668,dog_bite_cases in absolute number,
2019,Daman and Diu,3038,dog_bite_cases in absolute number,
2019,Delhi,45052,dog_bite_cases in absolute number,
2019,Goa,22090,dog_bite_cases in absolute number,
2019,Gujarat,480424,dog_bite_cases in absolute number,
2019,Haryana,142873,dog_bite_cases in absolute number,
2019,Himachal Pradesh,36227,dog_bite_cases in absolute number,
2019,Jammu and Kashmir,29263,dog_bite_cases in absolute number,
2019,Jharkhand,71725,dog_bite_cases in absolute number,
2019,Karnataka,312198,dog_bite_cases in absolute number,
2019,Kerala,81407,dog_bite_cases in absolute number,
2019,Ladakh,1568,dog_bite_cases in absolute number,
2019,Lakshadweep,0,dog_bite_cases in absolute number,
2019,Madhya Pradesh,248680,dog_bite_cases in absolute number,
2019,Maharashtra,625191,dog_bite_cases in absolute number,
2019,Manipur,5596,dog_bite_cases in absolute number,
2019,Meghalaya,11249,dog_bite_cases in absolute number,
2019,Mizoram,1658,dog_bite_cases in absolute number,
2019,Nagaland,470,dog_bite_cases in absolute number,
2019,Odisha,177530,dog_bite_cases in absolute number,
2019,Puducherry,22968,dog_bite_cases in absolute number,
2019,Punjab,98880,dog_bite_cases in absolute number,
2019,Rajasthan,450558,dog_bite_cases in absolute number,
2019,Sikkim,5886,dog_bite_cases in absolute number,
2019,Tamil Nadu,831044,dog_bite_cases in absolute number,
2019,Telangana,167733,dog_bite_cases in absolute number,
2019,Tripura,8660,dog_bite_cases in absolute number,
2019,Uttar Pradesh,2021103,dog_bite_cases in absolute number,
2019,Uttarakhand,38864,dog_bite_cases in absolute number,
2019,West Bengal,443768,dog_bite_cases in absolute number,
2019,All India,7269410,dog_bite_cases in absolute number,
2018,Andaman and Nicobar Islands,444,dog_bite_cases in absolute number,
2018,Andhra Pradesh,423935,dog_bite_cases in absolute number,
2018,Arunachal Pradesh,2650,dog_bite_cases in absolute number,
2018,Assam,77501,dog_bite_cases in absolute number,
2018,Bihar,288943,dog_bite_cases in absolute number,
2018,Chandigarh,15137,dog_bite_cases in absolute number,
2018,Chhattisgarh,39515,dog_bite_cases in absolute number,
2018,Dadra and Nagar Haveli,4746,dog_bite_cases in absolute number,
2018,Daman and Diu,1915,dog_bite_cases in absolute number,
2018,Delhi,107642,dog_bite_cases in absolute number,
2018,Goa,22527,dog_bite_cases in absolute number,
2018,Gujarat,455643,dog_bite_cases in absolute number,
2018,Haryana,132722,dog_bite_cases in absolute number,
2018,Himachal Pradesh,34279,dog_bite_cases in absolute number,
2018,Jammu and Kashmir,32809,dog_bite_cases in absolute number,
2018,Jharkhand,61122,dog_bite_cases in absolute number,
2018,Karnataka,307250,dog_bite_cases in absolute number,
2018,Kerala,94165,dog_bite_cases in absolute number,
2018,Ladakh,862,dog_bite_cases in absolute number,
2018,Lakshadweep,0,dog_bite_cases in absolute number,
2018,Madhya Pradesh,280940,dog_bite_cases in absolute number,
2018,Maharashtra,554908,dog_bite_cases in absolute number,
2018,Manipur,4574,dog_bite_cases in absolute number,
2018,Meghalaya,9797,dog_bite_cases in absolute number,
2018,Mizoram,1778,dog_bite_cases in absolute number,
2018,Nagaland,321,dog_bite_cases in absolute number,
2018,Odisha,166888,dog_bite_cases in absolute number,
2018,Puducherry,21774,dog_bite_cases in absolute number,
2018,Punjab,81990,dog_bite_cases in absolute number,
2018,Rajasthan,384575,dog_bite_cases in absolute number,
2018,Sikkim,5645,dog_bite_cases in absolute number,
2018,Tamil Nadu,770979,dog_bite_cases in absolute number,
2018,Telangana,815864,dog_bite_cases in absolute number,
2018,Tripura,8719,dog_bite_cases in absolute number,
2018,Uttar Pradesh,1917113,dog_bite_cases in absolute number,
2018,Uttarakhand,46361,dog_bite_cases in absolute number,
2018,West Bengal,390434,dog_bite_cases in absolute number,
2018,All India,7566467,dog_bite_cases in absolute number,
