Average rainfall,YEAR
85.42333333,2004
102.4,2005
100.779,2006
89.56,2007
102.954,2008
102.94,2009
103.427,2010
93.579,2011
95.38,2012
96.68,2013
84.08,2014
66.87,2015
72.866,2016
84.47,2017
111.86,2018
100.845,2019
111.527,2020
107.79,2021
121.235,2022
72.21,2023
105.64,2024
